Gen Num , Highest Fitness, Average Fitness, Population Size: 200
0 , 0.000000 , 0.000000 , 0
1 , 599.938354 , 44.124367 , 12
2 , 599.968201 , 567.350769 , 189
3 , 62.495464 , 22.088245 , 0
4 , 92.706596 , 17.584972 , 0
5 , 599.593323 , 20.428297 , 1
6 , 599.989136 , 142.405380 , 40
7 , 599.989136 , 141.624634 , 41
8 , 599.977539 , 124.787354 , 38
9 , 599.977539 , 187.174026 , 57
10 , 599.862305 , 174.764908 , 48
11 , 599.885925 , 331.429871 , 106
12 , 599.911865 , 397.095612 , 130
13 , 599.911865 , 315.266876 , 101
14 , 599.980469 , 278.524658 , 88
15 , 599.985840 , 381.041809 , 126
16 , 599.939392 , 262.422485 , 83
17 , 599.983948 , 301.256042 , 97
18 , 599.943176 , 288.540771 , 95
19 , 599.985840 , 225.966324 , 72
20 , 599.983948 , 221.713303 , 70
21 , 599.943176 , 200.182816 , 61
22 , 599.983948 , 322.875153 , 104
23 , 599.943176 , 239.374115 , 75
24 , 599.985840 , 345.365540 , 109
25 , 599.927490 , 207.733139 , 60
26 , 599.985840 , 222.727280 , 67
27 , 599.869690 , 206.856888 , 66
28 , 599.943176 , 234.048676 , 71
29 , 599.983948 , 164.993881 , 50
30 , 599.983948 , 248.083435 , 78
31 , 599.983948 , 187.024689 , 58
32 , 599.888428 , 316.360107 , 101
33 , 599.964844 , 278.644226 , 87
34 , 599.964844 , 217.007614 , 68
35 , 599.827393 , 224.751343 , 69
36 , 599.964844 , 134.156021 , 40
37 , 599.964844 , 224.049576 , 70
38 , 599.930786 , 157.324997 , 48
39 , 599.888428 , 134.542404 , 40
40 , 599.907898 , 85.336426 , 21
41 , 599.988220 , 327.400299 , 107
42 , 599.988220 , 330.220520 , 108
43 , 599.888428 , 206.949448 , 63
44 , 599.964844 , 112.627991 , 31
